region,date,evi_mean,evi_median,evi_std,evi_min,evi_max,valid_pixels,precip_mm,temp_c
Erbil,1/1/2016,,,,,,,176.8588327,4.64325
Erbil,2/1/2016,0.201315831,0.183583109,0.097305955,-0.154911567,0.853576221,543825,80.74356358,9.37292
Erbil,3/1/2016,0.272512454,0.253878279,0.125152517,-0.184237954,0.896752435,1420400,116.1267896,11.79126
Erbil,4/1/2016,0.231409898,0.175748263,0.148036629,-0.177763287,0.878674589,413725,84.22747763,15.93382
Erbil,5/1/2016,,,,,,,36.95762947,21.92818
Erbil,6/1/2016,0.094868778,0.081956094,0.046723859,-0.190184825,0.830324379,848499,2.825599919,27.894
Erbil,7/1/2016,0.12512426,0.097473413,0.068046156,-0.199613254,0.844257802,1743399,0.736378118,31.43614
Erbil,8/1/2016,0.116119947,0.089651178,0.066418502,-0.17945785,0.874880636,1741147,0,32.69008
Erbil,9/1/2016,0.113297088,0.089681069,0.069236935,-0.185517354,0.838738317,1836107,1.715123373,25.84315
Erbil,10/1/2016,0.103718349,0.081830794,0.060500686,-0.150112073,0.869954999,1833676,17.54490239,19.15661
Erbil,11/1/2016,0.110341967,0.089671254,0.05561716,-0.193755707,0.883502745,1717819,34.76316432,10.09177
Erbil,12/1/2016,0.082902057,0.073991988,0.032186238,-0.187431108,0.898595214,1293419,134.3592191,4.05674
Erbil,1/1/2017,0.111170333,0.105368944,0.038884907,-0.196408678,0.870947288,1505278,73.11939737,2.16144
Erbil,2/1/2017,0.150900901,0.13665906,0.072489575,-0.175473432,0.824674711,267306,68.68439195,2.97609
Erbil,3/1/2017,0.2077323,0.167924097,0.127915094,-0.176783618,0.842489046,90592,94.70055247,10.88926
Erbil,4/1/2017,0.307426138,0.292966037,0.153706419,-0.197955198,0.899983737,1799999,106.9911537,14.93688
Erbil,5/1/2017,0.212119599,0.167918198,0.127933846,-0.199193476,0.899198119,1787434,38.75059653,21.99269
Erbil,6/1/2017,0.156814996,0.120990059,0.092556505,-0.199173122,0.898057081,1849322,0.221746204,28.79758
Erbil,7/1/2017,0.133669043,0.105284139,0.074981039,-0.196966612,0.865353698,1855741,0.042370526,32.90171
Erbil,8/1/2017,0.120306578,0.089597015,0.070074323,-0.191597643,0.864039233,1851521,0.275044062,32.78192
Erbil,9/1/2017,0.115571964,0.089609136,0.069492215,-0.196381203,0.874934991,1837520,0,28.64444
Erbil,10/1/2017,0.110923159,0.081682793,0.065161246,-0.192829281,0.85756235,1839004,6.773912012,19.16576
Erbil,11/1/2017,0.102670104,0.081783863,0.053528246,-0.191977193,0.846965952,1751446,71.38682552,12.26876
Erbil,12/1/2017,0.103488382,0.081781847,0.054599711,-0.193376074,0.863949205,1540530,47.00494509,8.00074
