Model,Region,Date,EVI_Mean,EVI_Lower,EVI_Upper
BiLSTM,Erbil,2026-01-01,0.141339,0.132779,0.149898
BiLSTM,Erbil,2026-02-01,0.200186,0.186848,0.213523
BiLSTM,Erbil,2026-03-01,0.260286,0.246247,0.274326
BiLSTM,Erbil,2026-04-01,0.308831,0.289258,0.328404
BiLSTM,Erbil,2026-05-01,0.198954,0.178742,0.219167
BiLSTM,Erbil,2026-06-01,0.124338,0.115327,0.133348
BiLSTM,Erbil,2026-07-01,0.104947,0.097241,0.112653
BiLSTM,Erbil,2026-08-01,0.09777,0.09124,0.104299
BiLSTM,Erbil,2026-09-01,0.095113,0.087294,0.102932
BiLSTM,Erbil,2026-10-01,0.095392,0.087408,0.103377
BiLSTM,Erbil,2026-11-01,0.098529,0.089442,0.107616
BiLSTM,Erbil,2026-12-01,0.111477,0.100644,0.122311
BiLSTM,Erbil,2027-01-01,0.140404,0.126988,0.153819
BiLSTM,Erbil,2027-02-01,0.197612,0.179414,0.215809
BiLSTM,Erbil,2027-03-01,0.252163,0.234654,0.269672
BiLSTM,Erbil,2027-04-01,0.303988,0.28345,0.324527
BiLSTM,Erbil,2027-05-01,0.209281,0.184816,0.233747
BiLSTM,Erbil,2027-06-01,0.125575,0.112292,0.138859
BiLSTM,Erbil,2027-07-01,0.104152,0.095295,0.113008
BiLSTM,Erbil,2027-08-01,0.096611,0.087713,0.105508
BiLSTM,Erbil,2027-09-01,0.094555,0.085745,0.103365
BiLSTM,Erbil,2027-10-01,0.095299,0.087692,0.102906
BiLSTM,Erbil,2027-11-01,0.099159,0.090257,0.108062
BiLSTM,Erbil,2027-12-01,0.111456,0.098206,0.124705
BiLSTM,Erbil,2028-01-01,0.140502,0.124735,0.156268
BiLSTM,Erbil,2028-02-01,0.201489,0.184314,0.218665
BiLSTM,Erbil,2028-03-01,0.259963,0.235237,0.284688
BiLSTM,Erbil,2028-04-01,0.315081,0.285498,0.344664
BiLSTM,Erbil,2028-05-01,0.205203,0.172939,0.237467
BiLSTM,Erbil,2028-06-01,0.125729,0.111282,0.140176
BiLSTM,Erbil,2028-07-01,0.103912,0.091917,0.115907
BiLSTM,Erbil,2028-08-01,0.096583,0.085314,0.107852
BiLSTM,Erbil,2028-09-01,0.094688,0.084501,0.104874
BiLSTM,Erbil,2028-10-01,0.095641,0.084697,0.106584
BiLSTM,Erbil,2028-11-01,0.099908,0.089366,0.11045
BiLSTM,Erbil,2028-12-01,0.111868,0.098953,0.124784
BiLSTM,Erbil,2029-01-01,0.140108,0.122762,0.157455
BiLSTM,Erbil,2029-02-01,0.199157,0.177164,0.22115
BiLSTM,Erbil,2029-03-01,0.258736,0.231294,0.286179
BiLSTM,Erbil,2029-04-01,0.313221,0.275453,0.350988
BiLSTM,Erbil,2029-05-01,0.209536,0.162937,0.256135
BiLSTM,Erbil,2029-06-01,0.125745,0.108404,0.143087
BiLSTM,Erbil,2029-07-01,0.103599,0.092092,0.115107
BiLSTM,Erbil,2029-08-01,0.096748,0.08397,0.109526
BiLSTM,Erbil,2029-09-01,0.095357,0.083156,0.107558
BiLSTM,Erbil,2029-10-01,0.095607,0.084348,0.106866
BiLSTM,Erbil,2029-11-01,0.099262,0.084874,0.11365
BiLSTM,Erbil,2029-12-01,0.111489,0.094035,0.128942
BiLSTM,Erbil,2030-01-01,0.140912,0.120137,0.161687
BiLSTM,Erbil,2030-02-01,0.200152,0.170011,0.230294
BiLSTM,Erbil,2030-03-01,0.259016,0.229085,0.288948
BiLSTM,Erbil,2030-04-01,0.313797,0.272014,0.355579
BiLSTM,Erbil,2030-05-01,0.206669,0.162563,0.250776
BiLSTM,Erbil,2030-06-01,0.126711,0.107758,0.145664
BiLSTM,Erbil,2030-07-01,0.104301,0.087088,0.121513
BiLSTM,Erbil,2030-08-01,0.096144,0.08271,0.109579
BiLSTM,Erbil,2030-09-01,0.094736,0.082293,0.107178
BiLSTM,Erbil,2030-10-01,0.095887,0.081963,0.109811
BiLSTM,Erbil,2030-11-01,0.099479,0.084134,0.114824
BiLSTM,Erbil,2030-12-01,0.11179,0.093831,0.12975
BiLSTM,Duhok,2026-01-01,0.156511,0.150084,0.162939
BiLSTM,Duhok,2026-02-01,0.186352,0.177376,0.195327
BiLSTM,Duhok,2026-03-01,0.235618,0.222087,0.249149
BiLSTM,Duhok,2026-04-01,0.311023,0.294997,0.327049
BiLSTM,Duhok,2026-05-01,0.271068,0.253459,0.288677
BiLSTM,Duhok,2026-06-01,0.175958,0.16522,0.186697
BiLSTM,Duhok,2026-07-01,0.143144,0.134485,0.151803
BiLSTM,Duhok,2026-08-01,0.132842,0.124862,0.140822
BiLSTM,Duhok,2026-09-01,0.130166,0.122952,0.13738
BiLSTM,Duhok,2026-10-01,0.130154,0.12307,0.137237
BiLSTM,Duhok,2026-11-01,0.131146,0.123074,0.139218
BiLSTM,Duhok,2026-12-01,0.135938,0.128264,0.143612
BiLSTM,Duhok,2027-01-01,0.147212,0.137455,0.156969
BiLSTM,Duhok,2027-02-01,0.178662,0.166083,0.191241
BiLSTM,Duhok,2027-03-01,0.229671,0.211488,0.247853
BiLSTM,Duhok,2027-04-01,0.322379,0.296408,0.34835
BiLSTM,Duhok,2027-05-01,0.285339,0.259658,0.31102
BiLSTM,Duhok,2027-06-01,0.181196,0.167653,0.194739
BiLSTM,Duhok,2027-07-01,0.14354,0.133068,0.154012
BiLSTM,Duhok,2027-08-01,0.133749,0.123949,0.143548
BiLSTM,Duhok,2027-09-01,0.131151,0.121331,0.140971
BiLSTM,Duhok,2027-10-01,0.133231,0.124869,0.141592
BiLSTM,Duhok,2027-11-01,0.135093,0.125698,0.144488
BiLSTM,Duhok,2027-12-01,0.139758,0.1302,0.149317
BiLSTM,Duhok,2028-01-01,0.150938,0.141153,0.160724
BiLSTM,Duhok,2028-02-01,0.183115,0.16922,0.197011
BiLSTM,Duhok,2028-03-01,0.237616,0.213661,0.261571
BiLSTM,Duhok,2028-04-01,0.324441,0.296007,0.352875
BiLSTM,Duhok,2028-05-01,0.286524,0.254356,0.318692
BiLSTM,Duhok,2028-06-01,0.178126,0.160456,0.195796
BiLSTM,Duhok,2028-07-01,0.143375,0.131685,0.155064
BiLSTM,Duhok,2028-08-01,0.133371,0.12033,0.146412
BiLSTM,Duhok,2028-09-01,0.132728,0.121902,0.143554
BiLSTM,Duhok,2028-10-01,0.132967,0.121538,0.144397
BiLSTM,Duhok,2028-11-01,0.133988,0.123818,0.144158
BiLSTM,Duhok,2028-12-01,0.139261,0.127843,0.150678
BiLSTM,Duhok,2029-01-01,0.150948,0.136847,0.16505
BiLSTM,Duhok,2029-02-01,0.182247,0.165064,0.19943
BiLSTM,Duhok,2029-03-01,0.235022,0.207948,0.262096
BiLSTM,Duhok,2029-04-01,0.324214,0.292485,0.355942
BiLSTM,Duhok,2029-05-01,0.286896,0.247154,0.326639
BiLSTM,Duhok,2029-06-01,0.177905,0.156487,0.199322
BiLSTM,Duhok,2029-07-01,0.143018,0.12725,0.158785
BiLSTM,Duhok,2029-08-01,0.133844,0.119563,0.148126
BiLSTM,Duhok,2029-09-01,0.131982,0.118224,0.14574
BiLSTM,Duhok,2029-10-01,0.132917,0.120634,0.1452
