Model,Region,MSE,MAE,R2,Accuracy
BiLSTM,Erbil,0.000727,0.016696,0.90442,0.8824
BiLSTM,Duhok,0.000358,0.01354,0.932169,1.0
BiLSTM,Sulaymaniyah,0.00012,0.008229,0.976979,1.0
BiLSTM,Halabja,0.0003,0.014202,0.964347,1.0
GRU,Erbil,0.000985,0.023771,0.87048,0.8235
GRU,Duhok,0.000465,0.01661,0.911941,0.9412
GRU,Sulaymaniyah,0.000375,0.01612,0.927916,1.0
GRU,Halabja,0.000608,0.021184,0.927637,0.9412
CNN_GRU,Erbil,0.000319,0.013135,0.958106,1.0
CNN_GRU,Duhok,0.000455,0.015323,0.913861,0.8824
CNN_GRU,Sulaymaniyah,0.000323,0.014259,0.937961,1.0
CNN_GRU,Halabja,0.000465,0.018303,0.944697,1.0
CNN_BiLSTM,Erbil,0.000474,0.015915,0.937652,0.9412
CNN_BiLSTM,Duhok,0.000371,0.013963,0.929707,0.9412
CNN_BiLSTM,Sulaymaniyah,0.00026,0.01391,0.950083,1.0
CNN_BiLSTM,Halabja,0.00049,0.020415,0.941681,1.0
BiLSTM_GRU,Erbil,0.0009,0.02204,0.881753,0.8824
BiLSTM_GRU,Duhok,0.00033,0.014364,0.937399,1.0
BiLSTM_GRU,Sulaymaniyah,0.000295,0.014014,0.943304,1.0
BiLSTM_GRU,Halabja,0.000355,0.016786,0.957721,1.0
CNN_BiLSTM_GRU,Erbil,0.000476,0.015367,0.937415,1.0
CNN_BiLSTM_GRU,Duhok,0.000427,0.015847,0.919031,0.9412
CNN_BiLSTM_GRU,Sulaymaniyah,0.000291,0.012553,0.944072,1.0
CNN_BiLSTM_GRU,Halabja,0.000324,0.013728,0.961501,1.0
TCN,Erbil,0.00117,0.02637,0.846192,0.7647
TCN,Duhok,0.000381,0.014092,0.927825,1.0
TCN,Sulaymaniyah,0.000527,0.018326,0.89876,1.0
TCN,Halabja,0.000789,0.021248,0.906169,0.9412
Transformer,Erbil,0.00534,0.061219,0.298121,0.5882
Transformer,Duhok,0.00372,0.044357,0.295221,0.7647
Transformer,Sulaymaniyah,0.00544,0.057941,-0.045665,0.4706
Transformer,Halabja,0.008584,0.073481,-0.021077,0.2353
CNN_Transformer,Erbil,0.000771,0.020634,0.898622,0.8824
CNN_Transformer,Duhok,0.003087,0.035115,0.415161,0.7647
CNN_Transformer,Sulaymaniyah,0.002177,0.032568,0.58159,0.7647
CNN_Transformer,Halabja,0.00074,0.022436,0.912002,1.0
LSTM_baseline,Erbil,0.0012,0.021601,0.842278,0.8235
LSTM_baseline,Duhok,0.000478,0.015062,0.909514,0.9412
LSTM_baseline,Sulaymaniyah,0.000352,0.015765,0.932249,1.0
LSTM_baseline,Halabja,0.000671,0.021091,0.920197,0.9412
CNN_baseline,Erbil,0.004071,0.043698,0.464883,0.7647
CNN_baseline,Duhok,0.002789,0.037129,0.471675,0.7647
CNN_baseline,Sulaymaniyah,0.002653,0.037753,0.490102,0.7647
CNN_baseline,Halabja,0.003448,0.046432,0.58982,0.8235
