date,Erbil,Duhok,Sulaymaniyah,Halabja
2016-01-01,4.64325,4.30966,7.14527,7.40514
2016-02-01,9.37292,9.41867,11.04473,10.44826
2016-03-01,11.79126,12.10091,13.52318,12.5801
2016-04-01,15.93382,16.18117,17.23469,15.90725
2016-05-01,21.92818,21.39023,23.81842,22.62822
2016-06-01,27.894,27.12081,29.41625,28.39566
2016-07-01,31.43614,31.02406,32.7903,32.03697
2016-08-01,32.69008,32.2342,33.94013,33.09932
2016-09-01,25.84315,25.35355,27.78299,27.11964
2016-10-01,19.15661,19.25059,21.31475,20.80322
2016-11-01,10.09177,10.30379,11.92159,11.62282
2016-12-01,4.05674,3.50706,6.57738,6.6106
2017-01-01,2.16144,2.20155,4.28098,4.37274
2017-02-01,2.97609,2.8272,5.0908,4.6758
2017-03-01,10.88926,11.12927,12.57139,11.48453
2017-04-01,14.93688,14.69269,16.65583,15.59973
2017-05-01,21.99269,21.41655,23.83956,22.74948
2017-06-01,28.79758,28.12237,30.30715,29.38876
2017-07-01,32.90171,32.57577,34.03193,33.15242
2017-08-01,32.78192,32.32566,33.99928,33.15674
2017-09-01,28.64444,28.61456,29.97802,29.11368
2017-10-01,19.16576,19.08864,21.56285,21.28402
2017-11-01,12.26876,12.32736,14.249,14.03663
2017-12-01,8.00074,8.15866,9.95263,9.82172
2018-01-01,6.55645,6.79699,8.50295,8.47525
2018-02-01,9.62075,9.7081,11.16064,10.61601
2018-03-01,14.61933,15.07408,16.22037,15.21248
2018-04-01,15.79474,16.13915,17.06385,15.66366
2018-05-01,21.61718,21.17004,23.06519,21.68928
2018-06-01,28.37111,27.57292,29.96284,29.07564
2018-07-01,32.92327,32.50551,34.53469,34.05392
2018-08-01,31.73562,31.26027,33.23126,32.50221
2018-09-01,27.80482,27.50817,29.40186,28.66359
2018-10-01,20.56033,20.53761,22.6558,22.23077
2018-11-01,12.2866,12.54201,13.88826,13.57209
2018-12-01,8.61029,8.68931,10.50957,10.47678
2019-01-01,5.20112,5.29991,7.12104,6.91381
2019-02-01,7.61379,7.89659,8.72006,8.35929
2019-03-01,9.60023,9.99898,10.72336,9.43097
2019-04-01,13.67273,13.61007,15.1159,14.1591
2019-05-01,22.76344,22.96658,23.75139,22.0322
2019-06-01,30.35977,30.01484,31.11069,29.74819
2019-07-01,31.20619,30.96083,32.17136,31.52688
2019-08-01,32.60278,32.26503,33.59684,32.98322
2019-09-01,27.09283,27.23348,28.3162,27.81989
2019-10-01,21.27611,21.69658,22.62097,22.11859
2019-11-01,12.3457,12.80943,13.48621,13.08658
2019-12-01,9.23038,9.55214,10.79936,10.89679
2020-01-01,5.39625,5.39353,7.62405,8.25981
2020-02-01,7.15963,7.05047,9.18682,8.98883
2020-03-01,13.12105,13.30222,14.31699,13.28456
2020-04-01,15.42048,15.44213,16.9517,15.72118
